ID,text
1,"FIRST-CLASS PERFORMANCE
Zero Hour grew out of Naperville District 203’s unique approach to physical
education, which has gained national attention and become the model for a type
of gym class that I suspect would be unrecognizable to any adult reading this"
2,"
No getting nailed in dodgeball, no flunking for not showering, no living in fear
of being the last kid picked"
3,"
The essence of physical education in Naperville 203 is teaching fitness instead
of sports"
4," The underlying philosophy is that if physical education class can be
used to instruct kids how to monitor and maintain their own health and fitness,
then the lessons they learn will serve them for life"
5," And probably a longer and
happier life at that"
6," What’s being taught, really, is a lifestyle"
7," The students are
developing healthy habits, skills, and a sense of fun, along with a knowledge of
how their bodies work"
8," Naperville’s gym teachers are opening up new vistas for
their students by exposing them to such a wide range of activities that they can’t
help but find something they enjoy"
9," They’re getting kids hooked on moving
instead of sitting in front of the television"
10," This couldn’t be more important,
particularly since statistics show that children who exercise regularly are likely
to do the same as adults"
11,"
But it’s the impact of the fitness-based approach on the kids while they’re still
in school that initially grabbed my attention"
12," The New PE curriculum has been in
place for seventeen years now, and its effects have shown up in some
unexpected places — namely, the classroom"
13,"
It’s no coincidence that, academically, the district consistently ranks among
the state’s top ten, even though the amount of money it spends on each pupil —
considered by educators to be a clear predictor of success — is notably lower
than other top-tier Illinois public schools"
14," Naperville 203 includes fourteen
elementary schools, five junior highs, and two high schools"
15," For the sake of
comparison, let’s look at Naperville Central High School, where Zero Hour
began"
16," Its per-pupil operating expense in 2005 was $8,939 versus $15,403 at
Evanston’s New Trier High School"
17," New Trier kids scored on average two
points higher on their ACT college entrance exams (26"
18,"8), but they fared worse
than Central’s kids on a composite of mandatory state tests, which are taken by
every student, not just those applying to college"
19," And Central’s composite ACT
score for the graduating class of 2005 was 24"
20,"8, well above the state average of
20"
21,1
22,"
Those exams aren’t nearly as telling as the Trends in InternationalMathematics and Science Study (TIMSS), a test designed to compare students’
knowledge levels from different countries in two key subject areas"
23," This is the
exam cited by New York Times editorialist Thomas Friedman, author of The
World Is Flat, when he laments that students in places like Singapore are “eating
our lunch"
24,"” The education gap between the United States and Asia is widening,
Friedman points out"
25," Whereas in some Asian countries nearly half of the
students score in the top tier, only 7 percent of U"
26,S
27, students hit that mark
28,"
TIMSS has been administered every four years since 1995"
29," The 1999 edition
included 230,000 students from thirty-eight countries, 59,000 of whom were
from the United States"
30," While New Trier and eighteen other schools along
Chicago’s wealthy North Shore formed a consortium to take the TIMSS (thereby
masking individual schools’ performance), Naperville 203 signed up on its own
to get an international benchmark of its students’ performance"
31," Some 97 percent
of its eighth graders took the test — not merely the best and the brightest"
32," How
did they stack up? On the science section of the TIMSS, Naperville’s students
finished first, just ahead of Singapore, and then the North Shore consortium"
33,"
Number one in the world"
34," On the math section, Naperville scored sixth, behind
only Singapore, Korea, Taiwan, Hong Kong, and Japan"
35,"
As a whole, U"
36,S
37," students ranked eighteenth in science and nineteenth in
math, with districts from Jersey City and Miami scoring dead last in science and
math, respectively"
38," “We have huge discrepancies among our school districts in
the United States,” says Ina Mullis, who is a codirector of TIMSS"
39," “It’s a good
thing that we’ve at least got some Napervilles — it shows that it can be done"
40,"”
I won’t go so far as to say that Naperville’s kids are brilliant specifically
because they participate in an unusual physical education program"
41," There are
many factors that inform academic achievement"
42," To be sure, Naperville 203 is a
demographically advantaged school district: 83 percent white, with only 2"
43,"6
percent in the low income range, compared with 40 percent in that range for
Illinois as a whole"
44, Its two high schools boast a 97 percent graduation rate
45," And
the town’s major employers are science-centric companies such as Argonne,
Fermilab, and Lucent Technologies, which suggests that the parents of many
Naperville kids are highly educated"
46," The deck — in terms of both environment
and genetics — is stacked in Naperville’s favor"
47,"
On the other hand, when we look at Naperville, two factors really stand out:
its unusual brand of physical education and its test scores"
48," The correlation is
simply too intriguing to dismiss, and I couldn’t resist visiting Naperville to see
for myself what was happening there"
49," I’ve long been aware of the TIMSS test
and how it points to the failings of public education in this country"
50," Yet the
Naperville 203 kids aced the test"
51," Why? It’s not as if Naperville is the onlywealthy suburb in the country with intelligent, educated parents"
52," And in poor
districts where Naperville-style PE has taken root, such as Titusville,
Pennsylvania (which I’ll discuss later), test scores have improved measurably"
53,"
My conviction, and my attraction to Naperville, is that its focus on fitness plays
a pivotal role in its students’ academic achievements"
54,"THE NEW PE
The Naperville revolution started, as such things often do, with equal parts
idealism and self-preservation"
55," A visionary junior high physical education
teacher named Phil Lawler got the movement off the ground after he came
across a newspaper article in 1990 reporting that the health of U"
56,S
57," children was
declining"
58,"
“It said the reason they weren’t healthy was that they weren’t very active,”
recalls Lawler, a tall man in his fifties, with rimless glasses, who dresses in
khakis and white sneakers"
59," “These days everybody knows we have an obesity
epidemic,” he continues"
60," “But pick up a paper seventeen years ago and that kind
of article was unusual"
61," We said, We have these kids every day; shouldn’t we be
able to affect their health? If this is our business, I thought, we’re going
bankrupt"
62,"”
He already felt like his profession received no respect; schools had started
cutting phys ed from the curriculum, and now this"
63," A former college baseball
pitcher who missed out on the majors, Lawler is a sincere salesman and a natural
leader who became a gym teacher to stay close to sports"
